+++ ptr=0x00351040 size=0x0000000c       [0x0000167c] (.\src\cfg\cfg.cpp:22, cfg_set, 12 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00357ca0 size=0x00001014       [0x0000167c] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x00351488 size=0x00000014       [0x0000167c] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x00351488                       [0x0000167c] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x00351488 size=0x00000018       [0x0000167c] (.\src\api\api_savegame.cpp:29, SPWAW_savegame_new, 24 bytes)
+++ ptr=0x00357ca0 size=0x00000258       [0x0000167c] (.\src\api\api_savegame.cpp:34, SPWAW_savegame_new, 600 bytes)
+++ ptr=0x00357f28 size=0x00002bf8       [0x0000167c] (.\src\api\api_savegame.cpp:94, SPWAW_savegame_load, 11256 bytes)
+++ ptr=0x003514d0 size=0x00000014       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 20 bytes)
+++ ptr=0x01fc0068 size=0x00032640       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 206400 bytes)
+++ ptr=0x01ff26d8 size=0x0000bb80       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x01ffe288 size=0x0000bb80       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x02009e38 size=0x0000bb80       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x020159e8 size=0x0000bb80       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x02021598 size=0x0000bb80       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x0202d148 size=0x0000bb80       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 48000 bytes)
+++ ptr=0x02038cf8 size=0x00075300       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 480000 bytes)
+++ ptr=0x020c0068 size=0x0002ee00       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 192000 bytes)
+++ ptr=0x00351510 size=0x00000004       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x00270040 size=0x0009c400       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 640000 bytes)
+++ ptr=0x020eee98 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020eeec8 size=0x00000004       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x020eeef8 size=0x00000004       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x020eef28 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x020eef58 size=0x00000001       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x020eef88 size=0x0001a5e0       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 108000 bytes)
+++ ptr=0x020ae028 size=0x00003e80       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 16000 bytes)
+++ ptr=0x0035ab50 size=0x00000190       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 400 bytes)
+++ ptr=0x020b1ed8 size=0x00000001       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x020b1f08 size=0x00000001       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1 bytes)
+++ ptr=0x020b1f38 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02109598 size=0x00001388       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 5000 bytes)
+++ ptr=0x0035ad10 size=0x00001900       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 6400 bytes)
+++ ptr=0x0210a950 size=0x00000640       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1600 bytes)
+++ ptr=0x0210afc0 size=0x00000004       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x020b1f68 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x0210aff0 size=0x00052080       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 336000 bytes)
+++ ptr=0x020b1f98 size=0x00005dc0       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 24000 bytes)
+++ ptr=0x020b7d88 size=0x00000064       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 100 bytes)
+++ ptr=0x020b7e18 size=0x00000064       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 100 bytes)
+++ ptr=0x0215d0a0 size=0x0000037c       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 892 bytes)
+++ ptr=0x020b7ea8 size=0x0000001c       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 28 bytes)
+++ ptr=0x020b7ef0 size=0x00006400       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 25600 bytes)
+++ ptr=0x0215d448 size=0x000047e0       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 18400 bytes)
+++ ptr=0x02161c58 size=0x00000690       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1680 bytes)
+++ ptr=0x02162318 size=0x000004fc       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1276 bytes)
+++ ptr=0x02162840 size=0x00000004       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x02162870 size=0x00000004       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x021628a0 size=0x00000078       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 120 bytes)
+++ ptr=0x02162948 size=0x000000c8       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 200 bytes)
+++ ptr=0x02162a40 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02162a70 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02162aa0 size=0x00002580       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 9600 bytes)
+++ ptr=0x02165050 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x021a0650 size=0x0000003c       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 60 bytes)
+++ ptr=0x021a06b8 size=0x00001900       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 6400 bytes)
+++ ptr=0x0035c640 size=0x00000002       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x0035c670 size=0x00000050       [0x0000167c] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 80 bytes)
--- ptr=0x00351138                       [0x0000167c] (.\src\gamefile\gamedata_secmap.cpp:58, gamedata_secmap_destroy)
--- ptr=0x00355078                       [0x0000167c] (.\src\gamefile\spwaw\metadata_spwaw.cpp:47, gamedata_spwaw_free_metadata)
--- ptr=0x01d70040                       [0x0000167c] (.\src\gamefile\spwaw\gamedata_spwaw.cpp:153, gamedata_spwaw_free_data)
--- ptr=0x003510e0                       [0x0000167c] (.\src\gamefile\gamedata.cpp:114, gamedata_free)
--- ptr=0x00357f28                       [0x0000167c] (.\src\api\api_savegame.cpp:59, SPWAW_savegame_free)
--- ptr=0x003514d0                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01fc0068                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01ff26d8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01ffe288                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02009e38                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020159e8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02021598                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0202d148                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02038cf8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020c0068                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x00351510                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x00270040                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020eee98                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020eeec8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020eeef8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020eef28                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020eef58                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020eef88                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020ae028                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0035ab50                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b1ed8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b1f08                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b1f38                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02109598                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0035ad10                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0210a950                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0210afc0                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b1f68                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0210aff0                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b1f98                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b7d88                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b7e18                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0215d0a0                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b7ea8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020b7ef0                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
